Data_Publicacao;Descricao;Empresa;Funcao;Localidade;Nivel_experiencia;Plataforma;Setor;Tipo_emprego;Titulo
 há 2 dias;"DescriçãoDescrição:Buscamos um(a) profissional competente que cuide das principais diretrizes da área de logística e garantias Principais atividades:Estar em contato com clientes e com a área comercial visando viabilizar e agilizar entregasPlanejar as rotas, programar e monitorar as entregasAcompanhar e controlar as solicitações de garantia dos clientesGerenciar a frota, bem como as manutenções, documentação dos veículos, multas, etc.Negociar e programar recebimento de material dos fornecedoresElaborar planilhas e relatórios, com suporte às demais rotinas administrativasParticipar de reuniões de alinhamento dos projetosOutros requisitos:Cursando ensino superior em Administração, Logística ou Gestão comercialexperiência anterior nas atividades citadasconhecimento no pacote Office, com Excel intermediário/avançadoresidir no ABC. Habilidades:Negociação e cumprimento de prazos;Boa comunicação e desenvoltura em tratativas com pessoas.";Confidencial;;São Paulo;Pleno;VagasCom;;;Analista de Logística
 há 2 dias;"DescriçãoRequisitos:- Formação: Auxiliar de Enfermagem;- Coren ativo;- Vivência na área.  Atividades: - Atuará na assistência ao setor de Centro Cirúrgico;- Executar cuidados de enfermagem;  Outras informações:- Local de trabalho: Zona Leste - São Paulo - SP; - Escala de trabalho: (12X36) 07:00 às 19:00; - Disponibilidade para treinamento.  ";Rede D'Or;;São Paulo;Técnico;VagasCom;;;Auxiliar de Enfermagem - Centro Cirúrgico - Guaianazes
 há 2 dias;"DescriçãoDescrição: - Superior completo ou em curso;- CNH B ativa;-Veículo próprio (obrigatório)-Seguro ativo- Bons conhecimentos em Excel;- Experiência em vendas por catálogos;- Experiência contato com o público- Gestão de time de líderes de vendas.- Gosto pela área de Cosméticos- Fidelizar e reter lideres, planos de ação para aumentar o seu negócio.Outros requisitos:- Sentido de organização e planeamento- Criatividade- Empatia e carisma- Proatividade na procura e aprendizagem constantes de técnicas de vendas e sobre o produto em SI- Capacidade de gestão do tempo   ";Lowell;;Taubaté;Supervisão/ Coordenação;VagasCom;;;Supervisor(a) Comercial de Venda Direta
 há 2 dias;"DescriçãoDescrição das Atividades:Será responsável por todas as atividades educacionais, aquelas relacionadas aos processos de planejamento, mediação e avaliação dos estudantes do Senac RJ exercidas dentro ou fora dos ambientes de aprendizagem.Participará de reuniões de trabalho, elaboração de materiais didáticos, participação em eventos de cunho educacional (ex. palestras e workshops) e/ou coordenação de atividades educacionais incluindo cursos.Requisitos Obrigatórios:Formação superior em Estética OU na área de Saúde com pós-graduação em Estética ou com Técnico em Estética;Experiência em técnicas em Estética Facial e em técnicas em Estética Corporal;Idade mínima, no ato da inscrição: 18 anos.Local e Horário de Trabalho:Regime horista, conforme demanda da empresa (disponibilidade mínima requerida de 12 horas semanais).SENAC TERESÓPOLIS - Tardes (13h às 17h) e/ou Noites (18h às 22h)Período de inscrição: 19/09/2022 a 03/10/2022 Clique aqui para acessar o edital e comunicados da vaga e processo seletivo   ";Senac RJ;;Cabo Frio;Técnico;VagasCom;;;Instrutor de Técnico de Estética - Teresópolis
 há 2 dias;"DescriçãoDescrição:Principais Responsabilidades:Realizar monitoramento das atividades de segurança;Auxiliar na análise dos desvios e respectivos planos de ação do entreposto;Auxiliar na compra e aquisição de EPI's;Auxiliar na rotina da supervisão/segurança nas operações do pátio, realização de relatórios de rotina, revisão de procedimentos operacionais, realizar mapeamento e análise de risco;Apoiar na consolidação das informações de segurança (nº de CD's, estatística de segurança, DDS);Suporte nos projetos de melhoria;Fazer acompanhamento diário das principais anomalias de segurança no pátio e apontar os desvios ao gestor;Realização de atividades de inspeção nos locais de trabalho, auditorias de PAMS, Ações geradas do SIG;Apoio a portaria e brigada de incêndio nos processos de segurança;Auxiliar na realização de treinamentos de segurança.Outros requisitos:Cursando a partir do 2º semestre/módulo do curso técnico em segurança do trabalho;Conhecimentos intermediários em pacote Office (Word/ Excel/ Power Point);Cursando período noturno ou com disponibilidade para trocar de turno;";ArcelorMittal;;Candeias;Estágio;VagasCom;;;Estágio Técnico em Segurança do Trabalho
 há 2 dias;"DescriptionDescrição:Responsável pelo planejamento e gestão da área de treinamento para marcas próprias, visando apoiar atingimento das metas operacionais e manter os padrões da marca, desenvolvendo e implantando processos e ferramentas através de treinamentos teóricos e práticos com utilização de materiais padrão e seguindo diretrizes da marca.Sustentar o treinamento e desenvolvimento das equipes dos restaurantes ( atendentes, treinadores, coordenadores, assistentes e gerentes) por meio da elaboração e implantação de agendas de treinamento e planos de desenvolvimento individuais, apoiando o time de operações;Sustentar lançamento de novos produtos, através do desenvolvimento de materiais de treinamento garantindo execução adequada pelos restaurantes;Apoiar plano de aberturas de novos restaurantes, através da coordenação da logística para treinamento de novos times;Idiomas:Inglês - Nível IntermediárioOutros requisitos:Superior em Administração de Empresas, Psicologia ou áreas correlatas.Experiência com condução de processos de talent management, aprendizagem e desenvolvimento.Informática (Pacote Office Word, Excel, Power Point, Outlook),";International Meal Company;;São Paulo;Sênior;VagasCom;;;Coordenador de Treinamento
 há 2 dias;"DescriçãoDescrição:Principais atividades:* Atribuir notas fiscais (DANFE e DACTE).* Verificar divergências no processo de atribuição.* Garantir metas diárias de KPI.* Abrir chamados no Portal Cervello.* Manifestar e rejeitar notas fiscais.* Mapear e consolidar indicadores da área.* Realizar divisão das tarefas para o Time B2B.* Verificar se lotes e quantidades estão conforme NF-e.* Efetuar lançamentos de documentos fiscais através da Transação: MIRO.* Gerar evidências para gerência de risco (SOX).* Atender auditoria interna e externa.Formato de trabalho: Será 100% presencial – Santo Amaro – Zona Sul SPBenefícios:Vale TransporteVale refeiçãoVale AlimentaçãoPlano de Saudeplano odontologicoDesconto academiaSeguro de vida Olá!Gostou do anúncio da vaga? Então vai lá e clica em ""Candidatar-se a essa vaga"", mas antes, dá uma olhadinha no nosso recadinho e verifique se você concorda com os nossos termos!Lembre-se: a partir da candidatura, seu perfil será avaliado e em caso de compatibilidade com os requisitos da posição, fornecidos pelo contratante, haverá novas etapas do processo de seleção de acordo com os procedimentos de cada parceiro.A Somar Diversidade é sua parceira e te auxilia a se aproximar do cliente e a realizar as etapas de seleção, porém, a decisão final de contratação é de responsabilidade do parceiro divulgador da vaga.  Desejamos sucesso!";Somar Diversidade;;São Paulo;Auxiliar/ Operacional;VagasCom;;;Assistente Administrativo/ Fiscal
 há 2 dias;"DescriçãoEmpresa de fabricação de móveis na região da Pampulha em BH contrata Analista de PCP.Descrição das atividades: Fazer o planejamento, controle e programação da produção; Verificar a disponibilidade de matéria prima para a produção de pedidos; Realizar compras; Acompanhar junto ao fornecedor a entrega da MP; Acompanhar a produção visando o atendimento dos prazos fixados; Alimentar o Sistema (CRM) e planilhas; Cotar e contratar transportadora.Requisitos Mínimos: Graduação completa em Engenharia de Produção; Breve vivência na área de PCP e Compras; Breve vivência com sistemas ERP/ CRM e planilhas de indicadores; Excel Intermediário; Fácil acesso a região da Pampulha/ BH.Horário de Trabalho: De Segunda a Sexta das 07:30 às 17:30h - 100% presencial";grupoprestarh;;Belo Horizonte;Júnior/ Trainee;VagasCom;;;Analista de PCP
 há 2 dias;DescriçãoDescrição:Vaga também destinada a pessoa com deficiênciaQuais Serão As Suas Atividades:Realizar atividade de reparos e modificações em sistemas e maquinas com eletro-eletrônica, programação lógica de maquinas.Executar tarefas técnicas com uso de esquemas eletrônicos.Assistência as demais áreas de suporte, auxiliando engenheiros e técnicos. Substituir componentes eletroeletrônicos, suporte a listas de reposição, inspeção de trabalho, melhorias em processos com orientação das áreas. O Que É Necessário Ter:Ensino médio completoCurso técnico em Mecânica, eletroeletrônica, eletrotécnica ou áreas correlatasHabilidade em circuitos eletrônicos, eletrônica, automação, programação lógica plc/ihm, configuração de servomotores.;Confidencial;;Extrema;Técnico;VagasCom;;;Técnico Eletrônico
 há 2 dias;"DescriçãoDescrição: REQUISITOSEnsino Médio Completo.Disponibilidade de horário, escala 6x1.PRINCIPAIS ATIVIDADESVenda de Serviços de Telecom nos pontos de venda nas lojas varejistas;Abordar clientes em lojas através do seu ponto de venda para novas vendas e prospecção;Fidelizar e blindar os clientes dos canais de varejo;Oferecer suporte e produtos aos clientes gerando atração frente aos pontos de vendas de concorrentes da mesma rede;Atingir as metas de vendas estipuladas;Garantir que os produtos, imagens, preços e informações dos PDVs estejam de acordo com a política de cada um, no momento vigente. A EMPRESA OFERECEfixo + Remuneração Variável de acordo com as metas atingidas. OPORTUNIDADE DE CRESCIMENTO;DESCONTOS EM SERVIÇOS DA CLARO.";Brasil Center Comunicações;;Belo Horizonte;Auxiliar/ Operacional;VagasCom;;;Promotor de Vendas
